City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,husavik,IS,2020-09-01 06:51:54,66.04,-17.34,46.4,87,86,3.36,overcast clouds
141,upernavik,GL,2020-09-01 06:51:54,72.79,-56.15,37.69,95,100,6.96,light rain
142,manicore,BR,2020-09-01 06:51:55,-5.81,-61.3,72.73,91,0,2.28,clear sky
143,namibe,AO,2020-09-01 06:51:55,-15.2,12.15,63.79,72,0,3.04,clear sky
144,doha,QA,2020-09-01 06:48:41,25.29,51.53,102.99,44,0,11.41,clear sky
145,faya,SA,2020-09-01 06:51:55,18.39,42.45,78.8,33,0,8.05,clear sky
146,mecca,SA,2020-09-01 06:51:55,21.43,39.83,97.88,26,10,7.34,clear sky
147,kampot,KH,2020-09-01 06:51:55,10.62,104.18,86.0,88,40,1.12,light rain
148,jos,NG,2020-09-01 06:51:55,9.92,8.9,65.28,96,100,6.08,light rain
149,mayo,US,2020-09-01 06:51:55,38.89,-76.51,73.0,88,90,3.36,overcast clouds
150,rio cuarto,AR,2020-09-01 06:51:56,-33.13,-64.35,48.2,42,100,17.22,overcast clouds
151,bredasdorp,ZA,2020-09-01 06:51:56,-34.53,20.04,51.8,87,40,5.82,scattered clouds
152,gamba,GA,2020-09-01 06:51:56,-2.65,10.0,73.67,83,100,6.69,overcast clouds
153,geraldton,AU,2020-09-01 06:51:56,-28.77,114.6,64.4,63,40,17.22,scattered clouds
154,lagoa,PT,2020-09-01 06:51:56,39.05,-27.98,70.9,67,70,9.28,broken clouds
155,eyl,SO,2020-09-01 06:51:56,7.98,49.82,90.05,44,0,26.13,clear sky
156,new norfolk,AU,2020-09-01 06:51:56,-42.78,147.06,55.99,55,100,3.0,overcast clouds
157,esperance,AU,2020-09-01 06:51:56,-33.87,121.9,59.0,58,40,21.92,scattered clouds
158,thompson,CA,2020-09-01 06:50:44,55.74,-97.86,44.6,100,40,5.82,scattered clouds
159,carballo,ES,2020-09-01 06:51:57,43.21,-8.69,57.2,93,23,2.24,few clouds
160,marsh harbour,BS,2020-09-01 06:51:57,26.54,-77.06,84.16,74,50,9.57,scattered clouds
161,airai,TL,2020-09-01 06:51:57,-8.93,125.41,75.34,49,37,5.93,scattered clouds
162,iqaluit,CA,2020-09-01 06:51:57,63.75,-68.51,44.6,81,5,4.36,clear sky
163,kachug,RU,2020-09-01 06:51:57,53.96,105.88,66.61,46,30,9.44,scattered clouds
164,fort frances,CA,2020-09-01 06:47:53,48.6,-93.4,46.4,87,1,3.36,clear sky
